Company,Month,Status
Boeing,February,rejected
LMax Group,January,interview
Underdog,January,
Texas A&M HPRC,January,rejected offer
Comcast,January,offer rescinded
Akuna Capital,February,Online Assessment
Google,January,
Amazon,January,
CNH,January,
Applied Intuition,January,
Epic Systems,February,
AeroTech,January,
Astronics,January,
L3Harris,January,rejected
IBM,January,online assessment
Uptime Crew,January,rejected
Interactive Brokers,January,
Hewlett Packard,January,
Fidelity,January,
RBC Bearings,January,rejected
CH Robinson,January,rejected
Lockheed Martin,January,
Metron,January,
Financial Resources Federal Credit Union Inc,January,
JP Morgan,January,
Visa,January,
Scale AI,January,
NVIDIA,February,
Los Alamos,February,
Qualcomm,February,
Bloomberg,February,
Intel,February,rejected
AMD,February,
Raytheon,February,rejected

